station_id,name,latitude,longitude,wheelchair
41040,Kedzie (Pink),41.853964,-87.705408,1
41050,Linden,42.073153,-87.69073,1
41060,Ashland (Orange),41.839234,-87.665317,1
41070,Kedzie (Green),41.884321,-87.706155,1
41080,47th (Green),41.809209,-87.618826,1
41090,Monroe (Red),41.880745,-87.627696,2
41120,35th-Bronzeville-IIT,41.831677,-87.625826,1
41130,Halsted (Orange),41.84678,-87.648088,1
41140,King Drive,41.78013,-87.615546,1
41150,Kedzie (Orange),41.804236,-87.704406,1
41160,Clinton (Green/Pink),41.885678,-87.641782,1
41170,Garfield (Red),41.79542,-87.631157,1
41180,Kedzie (Brown),41.965996,-87.708821,1
41190,Jarvis,42.0160204165,-87.6692571266,2
41200,Argyle,41.9733220506,-87.6585279483,1
41210,Wellington (Brown/Purple),41.936033,-87.653266,1
41220,Fullerton,41.9253003719,-87.6528684398,1
41230,47th (Red),41.810318,-87.63094,1
41240,Addison (Blue),41.9466037164,-87.7184584172,1
41250,Central (Purple),42.063987,-87.685617,2
41260,Austin (Green),41.887293,-87.774135,2
41270,43rd,41.816462,-87.619021,1
41280,Jefferson Park Transit Center,41.9702338623,-87.7615940115,1
41290,Kimball,41.967901,-87.713065,1
41300,Loyola,42.001073,-87.661061,1
41310,Paulina,41.943623,-87.670907,1
41320,Belmont (Red/Brown/Purple),41.939751,-87.65338,1
41330,Montrose (Blue),41.9609010454,-87.7429034362,2
41340,LaSalle,41.875568,-87.631722,2
41350,Oak Park (Green),41.886988,-87.793783,2
41360,California (Green),41.88422,-87.696234,1
41380,Bryn Mawr,41.983504,-87.65884,1
41400,Roosevelt,41.8673785311,-87.6270314058,1
41410,Chicago (Blue),41.896075,-87.655214,2
41420,Addison (Red),41.947316173,-87.6536241013,1
41430,87th,41.735372,-87.624717,1
41440,Addison (Brown),41.947028,-87.674642,1
41450,Chicago (Red),41.896671,-87.628176,1
41460,Irving Park (Brown),41.954521,-87.674868,1
41480,Western (Brown),41.966163,-87.688502,1
41490,Harrison,41.874039,-87.627479,2
41500,Montrose (Brown),41.961756,-87.675047,1
41510,Morgan (Green/Pink),41.88557676,-87.65212993,1
41660,Lake (Subway),41.884809,-87.627813,1
41670,Conservatory-Central Park Drive,41.884904,-87.716523,1
41680,Oakton-Skokie,42.02624348,-87.74722084,1
41690,Cermak-McCormick Place,41.853115,-87.626402,1
41700,Washington/Wabash,41.88322,-87.626189,1
41710,Damen (Green),41.88497405,-87.67689149,1
