stop_id,station_id,stop_name,direction,latitude,longitude
30166,40850.0,Harold Washington Library,,41.876862,-87.628196
30167,40870.0,Francisco,,41.966046,-87.701644
30168,40870.0,Francisco,,41.966046,-87.701644
30169,40880.0,Thorndale,,41.990259,-87.659076
30170,40880.0,Thorndale,,41.990259,-87.659076
30171,40890.0,O'Hare,,41.97766526,-87.90422307
30172,40890.0,O'Hare,,41.97766526,-87.90422307
30173,40900.0,Howard,,42.019063,-87.672892
30174,40900.0,Howard,,42.019063,-87.672892
30175,40900.0,Howard,,42.019063,-87.672892
30176,40900.0,Howard,,42.019063,-87.672892
30177,40910.0,63rd,,41.780536,-87.630952
30178,40910.0,63rd,,41.780536,-87.630952
30179,40920.0,Pulaski-Forest Park,,41.873797,-87.725663
30180,40920.0,Pulaski-Forest Park,,41.873797,-87.725663
30181,40930.0,Midway,,41.78661,-87.737875
30182,40930.0,Midway,,41.78661,-87.737875
30183,40940.0,Halsted-Green,,41.778943,-87.644244
30184,40940.0,Halsted-Green,,41.778943,-87.644244
30185,40960.0,Pulaski-Orange,,41.799756,-87.724493
30186,40960.0,Pulaski-Orange,,41.799756,-87.724493
30187,40970.0,Cicero-Forest Park,,41.871574,-87.745154
30188,40970.0,Cicero-Forest Park,,41.871574,-87.745154
30189,40980.0,Harlem-Forest Park,,41.87349,-87.806961
30190,40980.0,Harlem-Forest Park,,41.87349,-87.806961
30191,40990.0,69th,,41.768367,-87.625724
30192,40990.0,69th,,41.768367,-87.625724
30193,41000.0,Cermak-Chinatown,,41.853206,-87.630968
30194,41000.0,Cermak-Chinatown,,41.853206,-87.630968
30195,41010.0,Rockwell,,41.966115,-87.6941
30196,41010.0,Rockwell,,41.966115,-87.6941
30197,41020.0,Logan Square,,41.929728,-87.708541
30198,41020.0,Logan Square,,41.929728,-87.708541
30199,41030.0,Polk,,41.871551,-87.66953
30200,41030.0,Polk,,41.871551,-87.66953
30201,41040.0,Kedzie-Cermak,,41.853964,-87.705408
30202,41040.0,Kedzie-Cermak,,41.853964,-87.705408
30203,41050.0,Linden,,42.073153,-87.69073
30204,41050.0,Linden,,42.073153,-87.69073
30205,41060.0,Ashland-Orange,,41.839234,-87.665317
30206,41060.0,Ashland-Orange,,41.839234,-87.665317
30207,41070.0,Kedzie-Green,,41.884321,-87.706155
30208,41070.0,Kedzie-Green,,41.884321,-87.706155
30209,41080.0,47th-Green,,41.809209,-87.618826
30210,41080.0,47th-Green,,41.809209,-87.618826
30211,41090.0,Monroe-Red,,41.880745,-87.627696
30212,41090.0,Monroe-Red,,41.880745,-87.627696
30213,41120.0,35-Bronzeville-IIT,,41.831677,-87.625826
30214,41120.0,35-Bronzeville-IIT,,41.831677,-87.625826
30215,41130.0,Halsted-Orange,,41.84678,-87.648088
30216,41130.0,Halsted-Orange,,41.84678,-87.648088
30217,41140.0,King Drive,,41.78013,-87.615546
30218,41140.0,King Drive,,41.78013,-87.615546
30219,41150.0,Kedzie-Orange,,41.804236,-87.704406
30220,41150.0,Kedzie-Orange,,41.804236,-87.704406
30221,41160.0,Clinton-Green,,41.885678,-87.641782
30222,41160.0,Clinton-Green,,41.885678,-87.641782
30223,41170.0,Garfield-Red,,41.79542,-87.631157
30224,41170.0,Garfield-Red,,41.79542,-87.631157
30225,41180.0,Kedzie-Brown,,41.965996,-87.708821
30226,41180.0,Kedzie-Brown,,41.965996,-87.708821
30227,41190.0,Jarvis,,42.015876,-87.669092
30228,41190.0,Jarvis,,42.015876,-87.669092
30229,41200.0,Argyle,,41.973453,-87.65853
30230,41200.0,Argyle,,41.973453,-87.65853
30231,41210.0,Wellington,,41.936033,-87.653266
30232,41210.0,Wellington,,41.936033,-87.653266
30233,41220.0,Fullerton,,41.925051,-87.652866
30234,41220.0,Fullerton,,41.925051,-87.652866
30235,41220.0,Fullerton,,41.925051,-87.652866
30236,41220.0,Fullerton,,41.925051,-87.652866
30237,41230.0,47th-Red,,41.810318,-87.63094
30238,41230.0,47th-Red,,41.810318,-87.63094
30239,41240.0,Addison-Blue,,41.94738,-87.71906
30240,41240.0,Addison-Blue,,41.94738,-87.71906
30241,41250.0,Central-Purple,,42.063987,-87.685617
30242,41250.0,Central-Purple,,42.063987,-87.685617
30243,41260.0,Austin-Green,,41.887293,-87.774135
30244,41260.0,Austin-Green,,41.887293,-87.774135
30245,41270.0,43rd,,41.816462,-87.619021
30246,41270.0,43rd,,41.816462,-87.619021
30247,41280.0,Jefferson Park,,41.970634,-87.760892
30248,41280.0,Jefferson Park,,41.970634,-87.760892
30249,41290.0,Kimball,,41.967901,-87.713065
30250,41290.0,Kimball,,41.967901,-87.713065
30251,41300.0,Loyola,,42.001073,-87.661061
30252,41300.0,Loyola,,42.001073,-87.661061
30253,41310.0,Paulina,,41.943623,-87.670907
30254,41310.0,Paulina,,41.943623,-87.670907
30255,41320.0,Belmont,,41.939751,-87.65338
30256,41320.0,Belmont,,41.939751,-87.65338
30257,41320.0,Belmont,,41.939751,-87.65338
30258,41320.0,Belmont,,41.939751,-87.65338
30259,41330.0,Montrose-Blue,,41.961539,-87.743574
30260,41330.0,Montrose-Blue,,41.961539,-87.743574
30261,41340.0,LaSalle,,41.875568,-87.631722
30262,41340.0,LaSalle,,41.875568,-87.631722
30263,41350.0,Oak Park-Green,,41.886988,-87.793783
30264,41350.0,Oak Park-Green,,41.886988,-87.793783
30265,41360.0,California-Green,,41.88422,-87.696234
30266,41360.0,California-Green,,41.88422,-87.696234
30267,41380.0,Bryn Mawr,,41.983504,-87.65884
30268,41380.0,Bryn Mawr,,41.983504,-87.65884
30269,41400.0,Roosevelt (Subway),,41.867368,-87.627402
30270,41400.0,Roosevelt (Subway),,41.867368,-87.627402
30271,41410.0,Chicago-Blue,,41.896075,-87.655214
30272,41410.0,Chicago-Blue,,41.896075,-87.655214
30273,41420.0,Addison-Red,,41.947428,-87.653626
30274,41420.0,Addison-Red,,41.947428,-87.653626
30275,41430.0,87th,,41.735372,-87.624717
30276,41430.0,87th,,41.735372,-87.624717
30277,41440.0,Addison-Brown,,41.947028,-87.674642
30278,41440.0,Addison-Brown,,41.947028,-87.674642
30279,41450.0,Chicago-Red,,41.896671,-87.628176
30280,41450.0,Chicago-Red,,41.896671,-87.628176
30281,41460.0,Irving Park-Brown,,41.954521,-87.674868
30282,41460.0,Irving Park-Brown,,41.954521,-87.674868
30283,41480.0,Western-Brown,,41.966163,-87.688502
30284,41480.0,Western-Brown,,41.966163,-87.688502
30285,41490.0,Harrison,,41.874039,-87.627479
30286,41490.0,Harrison,,41.874039,-87.627479
30287,41500.0,Montrose-Brown,,41.961756,-87.675047
30288,41500.0,Montrose-Brown,,41.961756,-87.675047
30289,41660.0,Lake,,41.884809,-87.627813
30290,41660.0,Lake,,41.884809,-87.627813
30291,41670.0,Conservatory,,41.884904,-87.716523
30292,41670.0,Conservatory,,41.884904,-87.716523
30295,41510.0,Morgan,,41.88557676,-87.65212993
30296,41510.0,Morgan,,41.88557676,-87.65212993
30297,41680.0,Oakton-Skokie,,42.02624348,-87.74722084
30298,41680.0,Oakton-Skokie,,42.02624348,-87.74722084
30374,40380.0,Clark/Lake (Subway),,41.885737,-87.630886
30375,40380.0,Clark/Lake (Subway),,41.885737,-87.630886
30381,41690.0,Cermak-McCormick Place,,41.853115,-87.626402
30382,41690.0,Cermak-McCormick Place,,41.853115,-87.626402
30383,41700.0,Washington/Wabash,,41.88322,-87.626189
30384,41700.0,Washington/Wabash,,41.88322,-87.626189
30385,40540.0,Wilson-South Outer,,41.964273,-87.657588
30386,40540.0,Wilson-North Outer,,41.964273,-87.657588
30387,41710.0,Damen-Green,,41.88497405,-87.67689149
30388,41710.0,Damen-Green,,41.88497405,-87.67689149
